SIM CODE  	DATE      	FRAC INTERCEP  	AG RES BIOMASS 	BG RES BIOMASS 	ROOT RES BIOMAS	SFC MANURE C   	AG RES N       	BG RES N       	ROOT RES N     	SFC MANURE N   	STD RES MOIST  	FLAT RES MOIST 
-         	YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	kg/ha          	kg/ha          	kg/ha          	Mg/ha          	kg/kg          	kg/kg          
RenoT0Control	2006-05-14	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-15	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-16	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-17	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-18	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-19	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-20	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-21	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-22	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-23	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-24	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-25	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-26	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-27	0.000000       	0.000000       	0.000000       	0.000053       	0.000000       	0.000000       	0.000000       	0.000001       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-28	0.000000       	0.000000       	0.000000       	0.000147       	0.000000       	0.000000       	0.000000       	0.000002       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-29	0.000000       	0.000000       	0.000000       	0.000395       	0.000000       	0.000000       	0.000000       	0.000006       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-30	0.000000       	0.000000       	0.000000       	0.000923       	0.000000       	0.000000       	0.000000       	0.000013       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-05-31	0.000000       	0.000000       	0.000000       	0.001087       	0.000000       	0.000000       	0.000000       	0.000015       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-01	0.000000       	0.000000       	0.000000       	0.001508       	0.000000       	0.000000       	0.000000       	0.000021       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-02	0.000000       	0.000000       	0.000000       	0.002082       	0.000000       	0.000000       	0.000000       	0.000029       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-03	0.000000       	0.000000       	0.000000       	0.002750       	0.000000       	0.000000       	0.000000       	0.000038       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-04	0.000000       	0.000000       	0.000000       	0.003540       	0.000000       	0.000000       	0.000000       	0.000049       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-05	0.000000       	0.000000       	0.000000       	0.004579       	0.000000       	0.000000       	0.000000       	0.000064       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-06	0.000000       	0.000000       	0.000000       	0.005879       	0.000000       	0.000000       	0.000000       	0.000081       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-07	0.000000       	0.000000       	0.000000       	0.007285       	0.000000       	0.000000       	0.000000       	0.000098       	0.000000       	0.000000       	0.000000       
RenoT0Control	2006-06-08	0.000000       	0.000000       	0.000000       	0.008976       	0.000000       	0.000000       	0.000000       	0.000120       	0.000000       	0.000000       	0.000000       
